title,views,video_link,date_time,thumbnail_link
Ready to take on the challenge? | 90% Refund Challenge by GeeksforGeeks,5.2K views,/watch?v=B05KjM_OLTA,1 day ago,https://i.ytimg.com/vi/B05KjM_OLTA/hqdefault.jpg
"I went to the House of a Microsoft Software Engineer | Resume Revealed |SDE Roadmap, Salary, Perks",3.5K views,/watch?v=nQ-dpHJPS2c,2 days ago,https://i.ytimg.com/vi/nQ-dpHJPS2c/hqdefault.jpg
The Only Cyber Security Roadmap you need for 2025 |,1.8K views,/watch?v=0CMNIpd-s_c,3 days ago,https://i.ytimg.com/vi/0CMNIpd-s_c/hqdefault.jpg
GeeksforGeeks is going to rock the world of Education with this move!,1.6K views,/watch?v=Na5zVw3g9So,5 days ago,https://i.ytimg.com/vi/Na5zVw3g9So/hqdefault.jpg
How to get a job in MAANG as a College Student ? | Tips and Hacks | Roadmap,4.2K views,/watch?v=dE-MlQnCT78,5 days ago,https://i.ytimg.com/vi/dE-MlQnCT78/hqdefault.jpg
Get your Dream Internship in the First Year of College | Step by Step Guide,817 views,/watch?v=89A8dNvjLYw,6 days ago,https://i.ytimg.com/vi/89A8dNvjLYw/hqdefault.jpg
GfG Practice Channel Now Home to GfG 160 Challenge New Videos!,600 views,/watch?v=_l2tH4saDl4,6 days ago,https://i.ytimg.com/vi/_l2tH4saDl4/hqdefault.jpg
GfG 160 | Day- 42 | Pair with given sum - 2Sum | 160 Days Daily DSA Problem Solving | GeeksforGeeks,524 views,/watch?v=gkps-WFPHYI,6 days ago,https://i.ytimg.com/vi/gkps-WFPHYI/hqdefault.jpg
These 7 AI Projects will give you an UNFAIR Advantage  | Get Placed,1.1K views,/watch?v=cm1oKGS3mP4,7 days ago,https://i.ytimg.com/vi/cm1oKGS3mP4/hqdefault.jpg
GfG 160 | Day- 41 | Set Matrix Zeroes | 160 Days Daily DSA Problem Solving | GeeksforGeeks,470 views,/watch?v=rOcXfIP3vps,7 days ago,https://i.ytimg.com/vi/rOcXfIP3vps/hqdefault.jpg
GfG 160 | Day- 40 | Search in a Sorted Matrix | 160 Days Daily DSA Problem Solving | GeeksforGeeks,511 views,/watch?v=maEcp5OXLgg,8 days ago,https://i.ytimg.com/vi/maEcp5OXLgg/hqdefault.jpg
FREE GATE Test Series 2025 by GeeksforGeeks,813 views,/watch?v=au6Ui7tnPxI,9 days ago,https://i.ytimg.com/vi/au6Ui7tnPxI/hqdefault.jpg
GfG 160 | Day- 39 | Search in a row-wise sorted | 160 Days Daily DSA Problem Solving | GeeksforGeeks,472 views,/watch?v=ln6LYCHeris,9 days ago,https://i.ytimg.com/vi/ln6LYCHeris/hqdefault.jpg
GfG 160 | Day- 38 | Search in a Row-wise and Column-wise Sorted | 160 Days Daily DSA Problem Solving,536 views,/watch?v=aZdTzG-OmLU,10 days ago,https://i.ytimg.com/vi/aZdTzG-OmLU/hqdefault.jpg
GfG 160 | Day- 37 | Rotate Matrix | 160 Days Daily DSA Problem Solving | GeeksforGeeks,571 views,/watch?v=RUQF765u8CY,11 days ago,https://i.ytimg.com/vi/RUQF765u8CY/hqdefault.jpg
GfG 160 | Day- 36 | Spiral Traversal | 160 Days Daily DSA Problem Solving | GeeksforGeeks,560 views,/watch?v=vI67TeaN6bg,12 days ago,https://i.ytimg.com/vi/vI67TeaN6bg/hqdefault.jpg
Fastest way to become a AI Engineer in 2025 | *Free Resources Inside*,1.5K views,/watch?v=kAiqXF3TyVg,13 days ago,https://i.ytimg.com/vi/kAiqXF3TyVg/hqdefault.jpg
GfG 160 | Day- 35 | Kth Missing Positive Number | 160 Days Daily DSA Problem Solving | GeeksforGeeks,568 views,/watch?v=Z2UNcqPXOPc,13 days ago,https://i.ytimg.com/vi/Z2UNcqPXOPc/hqdefault.jpg
GeeksforGeeks Classes- Now in Hyderabad!,18K views,/watch?v=fvPrYPgDONY,2 weeks ago,https://i.ytimg.com/vi/fvPrYPgDONY/hqdefault.jpg
GfG 160 | Day- 34 | Allocate Minimum Pages | 160 Days Daily DSA Problem Solving | GeeksforGeeks,569 views,/watch?v=POVcprzEWq4,2 weeks ago,https://i.ytimg.com/vi/POVcprzEWq4/hqdefault.jpg
GfG 160 | Day- 33 | Aggressive Cows | 160 Days Daily DSA Problem Solving | GeeksforGeeks,578 views,/watch?v=xUBzyf-EixQ,2 weeks ago,https://i.ytimg.com/vi/xUBzyf-EixQ/hqdefault.jpg
GfG 160 | Day- 32 | K-th Element of Merged Two Sorted Arrays | 160 Days Daily DSA Problem Solving,692 views,/watch?v=xgXJ0t_B_24,2 weeks ago,https://i.ytimg.com/vi/xgXJ0t_B_24/hqdefault.jpg
GfG 160 | Day- 31 | Peak Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,563 views,/watch?v=AqV-_bIyH30,2 weeks ago,https://i.ytimg.com/vi/AqV-_bIyH30/hqdefault.jpg
GfG 160 | Day- 30 | Search in a Sorted and Rotated Array | 160 Days Daily DSA Problem Solving | GfG,641 views,/watch?v=tCZb576NK7k,2 weeks ago,https://i.ytimg.com/vi/tCZb576NK7k/hqdefault.jpg
GfG 160 | Day- 29 | Minimum in a Sorted and Rotated Array | 160 Days Daily DSA Problem Solving | GfG,585 views,/watch?v=EtX8zY-DPdE,2 weeks ago,https://i.ytimg.com/vi/EtX8zY-DPdE/hqdefault.jpg
GfG 160 | Day- 28 | Count Occurrences in a Sorted Array | 160 Days Daily DSA Problem Solving | GfG,528 views,/watch?v=CofV2PsroxI,2 weeks ago,https://i.ytimg.com/vi/CofV2PsroxI/hqdefault.jpg
GfG 160 | Day- 27 | Merge Two Sorted Arrays Without Extra Space | 160 Days Daily DSA Problem Solving,632 views,/watch?v=CtmkAKGVI10,3 weeks ago,https://i.ytimg.com/vi/CtmkAKGVI10/hqdefault.jpg
GfG 160 | Day- 26 | Non-overlapping Intervals | 160 Days Daily DSA Problem Solving | GeeksforGeeks,881 views,/watch?v=-45THxt4sE8,3 weeks ago,https://i.ytimg.com/vi/-45THxt4sE8/hqdefault.jpg
GfG 160 | Day- 25 | Insert and Merge Interval | 160 Days Daily DSA Problem Solving | GeeksforGeeks,574 views,/watch?v=9pN0jPYvJcM,3 weeks ago,https://i.ytimg.com/vi/9pN0jPYvJcM/hqdefault.jpg
