Brand,Model,Mileage,Year,Price
Nissan,Altima,60102,2015,9995
Nissan,Sentra,64042,2021,10800
BMW,X3,40995,2022,22800
Chevrolet,Malibu,102120,2021,9995
Chevrolet,Equinox,58042,2021,13490
Chrysler,Pacifica,110270,2007,4200
Audi,A7,69362,2015,14995
Nissan,Altima,31295,2018,12995
Nissan,Maxima,108634,2011,4995
Ford,Explorer,42494,2021,19888
Mercedes-Benz,C-Class,10700,2024,44500
Ram,ProMaster Cargo Van,117678,2018,11995
Kia,Soul,26032,2023,14788
Ford,Escape,26607,2022,20188
Jeep,Grand Cherokee,124240,2015,10495
BMW,3 Series,77517,2021,16365
Honda,Civic,116500,2013,5800
BMW,X3,84920,2021,16765
BMW,5 Series,63655,2021,16945
Jeep,Wrangler,112895,2019,19998
Hyundai,Venue,15641,2021,12988
BMW,5 Series,31521,2021,23271
Mercedes-Benz,GLC,53475,2020,20400
Jeep,Renegade,43321,2021,14555
Toyota,Tundra,80286,2022,28695
Chevrolet,Equinox,20099,2022,16888
BMW,X3,55976,2023,20504
Porsche,911,1896,2023,129995
BMW,3 Series,67568,2021,15740
Hyundai,Santa Fe Sport,103614,2018,9995
Nissan,Rogue,19293,2023,19891
Jeep,Cherokee,61522,2019,12499
Dodge,Durango,59682,2022,19889
Mercedes-Benz,GLC,89761,2021,15470
Land Rover,Range Rover Sport,41154,2022,39900
Hyundai,Elantra,94153,2013,5499
Nissan,Rogue,14053,2023,20891
BMW,5 Series,30637,2017,16995
Volkswagen,Taos,48183,2022,15320
Nissan,Frontier,18721,2023,26500
Nissan,Rogue,36386,2021,18500
Hyundai,Elantra,27485,2022,14800
Audi,Q5,24952,2021,27411
Kia,Sorento,58214,2022,24988
Chrysler,Pacifica,61990,2022,18777
Hyundai,Santa Fe,31486,2019,18900
Nissan,Sentra,75130,2017,8500
Mercedes-Benz,GLC,43900,2021,22500
Mercedes-Benz,GLE,75633,2020,22441
Volkswagen,Tiguan,33613,2021,18195
Toyota,Camry,73037,2021,15899
Toyota,bZ4X,25628,2023,24000
Honda,Civic,18963,2022,20500
Mercedes-Benz,C-Class,21996,2023,40500
BMW,3 Series,52383,2021,17893
BMW,X5,40401,2022,39995
Mercedes-Benz,GLB,62167,2020,19650
Jeep,Grand Cherokee WK,79600,2021,21488
Nissan,Sentra,23871,2021,14500
BMW,3 Series,44129,2021,18916
Subaru,Forester,96791,2015,7999
Audi,Q3,69689,2018,13395
Jeep,Grand Cherokee,181726,2015,7777
BMW,X3,55976,2023,20504
Kia,Optima,95449,2019,7999
Honda,Pilot,92803,2021,19205
Ford,Escape,114684,2017,7995
Porsche,911,1896,2023,129995
Subaru,Forester,129608,2016,7495
BMW,3 Series,67568,2021,15740
Lexus,ES,118705,2012,7999
Hyundai,Santa Fe Sport,103614,2018,9995
Nissan,Frontier,18721,2023,26500
Ford,Edge,57417,2022,14999
Volkswagen,Taos,52059,2022,15990
Chevrolet,Equinox,129499,2021,12299
Ford,Super Duty F-250,92292,2016,14695
Toyota,Prius,163242,2010,4495
Acura,RDX,72553,2021,20693
Nissan,Rogue,36386,2021,18500
