Brand,Model,Mileage,Year,Price
Nissan,Altima,60102,2015,9995.0
Nissan,Sentra,64042,2021,10800.0
BMW,X3,40995,2022,22800.0
Chevrolet,Malibu,102120,2021,9995.0
Chevrolet,Equinox,58042,2021,13490.0
Chrysler,Pacifica,110270,2007,4200.0
Audi,A7,69362,2015,14995.0
Nissan,Altima,31295,2018,12995.0
Nissan,Maxima,108634,2011,4995.0
Ford,Explorer,42494,2021,19888.0
Mercedes-Benz,C-Class,10700,2024,44500.0
Ram,ProMaster Cargo Van,117678,2018,11995.0
Kia,Soul,26032,2023,14788.0
Ford,Escape,26607,2022,20188.0
Jeep,Grand Cherokee,124240,2015,10495.0
BMW,3 Series,77517,2021,16365.0
Honda,Civic,116500,2013,5800.0
BMW,X3,84920,2021,16765.0
BMW,5 Series,63655,2021,16945.0
Jeep,Wrangler,112895,2019,19998.0
Hyundai,Venue,15641,2021,12988.0
BMW,5 Series,31521,2021,23271.0
Mercedes-Benz,GLC,53475,2020,20400.0
Jeep,Renegade,43321,2021,14555.0
Toyota,Tundra,80286,2022,28695.0
Chevrolet,Equinox,20099,2022,16888.0
BMW,X3,55976,2023,20504.0
Porsche,911,1896,2023,129995.0
BMW,3 Series,67568,2021,15740.0
Hyundai,Santa Fe Sport,103614,2018,9995.0
Nissan,Rogue,19293,2023,19891.0
Jeep,Cherokee,61522,2019,12499.0
Dodge,Durango,59682,2022,19889.0
Mercedes-Benz,GLC,89761,2021,15470.0
Land Rover,Range Rover Sport,41154,2022,39900.0
Hyundai,Elantra,94153,2013,5499.0
Nissan,Rogue,14053,2023,20891.0
BMW,5 Series,30637,2017,16995.0
Volkswagen,Taos,48183,2022,15320.0
Nissan,Frontier,18721,2023,26500.0
Nissan,Rogue,36386,2021,18500.0
Hyundai,Elantra,27485,2022,14800.0
Audi,Q5,24952,2021,27411.0
Kia,Sorento,58214,2022,24988.0
Chrysler,Pacifica,61990,2022,18777.0
Hyundai,Santa Fe,31486,2019,18900.0
Nissan,Sentra,75130,2017,8500.0
Mercedes-Benz,GLC,43900,2021,22500.0
Mercedes-Benz,GLE,75633,2020,22441.0
Volkswagen,Tiguan,33613,2021,18195.0
Toyota,Camry,73037,2021,15899.0
Toyota,bZ4X,25628,2023,24000.0
Honda,Civic,18963,2022,20500.0
Mercedes-Benz,C-Class,21996,2023,40500.0
BMW,3 Series,52383,2021,17893.0
BMW,X5,40401,2022,39995.0
Mercedes-Benz,GLB,62167,2020,19650.0
Jeep,Grand Cherokee WK,79600,2021,21488.0
Nissan,Sentra,23871,2021,14500.0
BMW,3 Series,44129,2021,18916.0
Subaru,Forester,96791,2015,7999.0
Audi,Q3,69689,2018,13395.0
Jeep,Grand Cherokee,181726,2015,7777.0
BMW,X3,55976,2023,20504.0
Kia,Optima,95449,2019,7999.0
Honda,Pilot,92803,2021,19205.0
Ford,Escape,114684,2017,7995.0
Porsche,911,1896,2023,129995.0
Subaru,Forester,129608,2016,7495.0
