Brand,Model,Mileage,Year,Price
Ford,Mustang,108207,2020,14999.0
Mercedes-Benz,EQS Sedan,36513,2022,49995.0
Mazda,CX-30,5438,2023,21977.0
Tesla,Model 3,53000,2018,19998.0
Toyota,Prius c,78799,2014,9995.0
BMW,7 Series,32986,2022,46571.0
BMW,i3,27785,2021,18999.0
Volvo,XC40 Recharge,4260,2023,31999.0
Tesla,Model 3,58657,2019,18998.0
BMW,X3,39089,2022,29998.0
Dodge,Charger,55053,2021,19998.0
Ford,Focus Electric,32370,2015,10998.0
Cadillac,XT5,70602,2017,19998.0
Dodge,Charger,45955,2022,19998.0
Chevrolet,Malibu,103534,2018,9955.0
Jeep,Cherokee,108965,2019,9884.0
Toyota,RAV4,82144,2016,15998.0
Ford,F-150,86531,2020,19995.0
Mazda,MX-30 EV,4552,2022,22998.0
Acura,MDX,21802,2019,31998.0
Audi,Q5,55201,2022,23000.0
Hyundai,Santa Fe Sport,92889,2017,15998.0
Dodge,Charger,56530,2022,19998.0
Dodge,Charger,48790,2022,19998.0
Hyundai,Genesis,36793,2015,16998.0
Chevrolet,Silverado 1500,39930,2022,31998.0
Toyota,Camry,96416,2019,16995.0
Mercedes-Benz,C-Class,54494,2019,20998.0
Ford,Escape,32580,2022,18998.0
Chrysler,Pacifica,51197,2020,23998.0
Toyota,Corolla,135229,2009,6495.0
Volvo,XC40 Recharge,2019,2023,31999.0
Ford,F-150,63771,2017,20998.0
BMW,3 Series,44870,2021,23317.0
BMW,X5,34226,2022,37662.0
Jaguar,I-PACE,37171,2019,24991.0
Toyota,bZ4X,32657,2023,23999.0
Tesla,Model 3,30552,2018,20998.0
BMW,7 Series,36560,2022,53998.0
Acura,RDX,49113,2019,27998.0
Honda,Civic,39601,2023,20988.0
Lexus,GS,33008,2019,33998.0
Chevrolet,Malibu,105581,2017,10667.0
Ford,Explorer,105880,2016,17998.0
Mercedes-Benz,GLE,46477,2019,44692.0
Cadillac,XT5,40143,2023,29998.0
Nissan,Altima,43285,2013,9999.0
Mercedes-Benz,GLE,41836,2021,47998.0
Mercedes-Benz,GLE,41915,2020,34998.0
Lexus,GX,41294,2021,45998.0
Ford,Edge,48592,2023,21998.0
Mercedes-Benz,GLC,69081,2019,21961.0
Ford,Mustang,39777,2023,33998.0
Dodge,Charger,50103,2022,19998.0
GMC,Acadia,90153,2017,15995.0
Volkswagen,Golf GTI,78876,2011,9495.0
Ford,Edge,103208,2010,6900.0
Jeep,Wrangler,51616,2020,25998.0
Jeep,Gladiator,26614,2021,30998.0
BMW,X3,15485,2024,37167.0
Ford,F-150,86531,2020,19995.0
Chrysler,300,70468,2006,8988.0
Chevrolet,Silverado 1500,76900,2021,28395.0
Mazda,MX-30 EV,4552,2022,22998.0
Volkswagen,Tiguan,13477,2021,17395.0
BMW,X1,13182,2023,33646.0
Rivian,R1T,50569,2022,52999.0
Acura,MDX,21802,2019,31998.0
Hyundai,Sonata,25039,2017,20591.0
Mercedes-Benz,GLC,3252,2023,42596.0
Cadillac,XT4,35046,2023,24895.0
Kia,Forte,70075,2021,13800.0
Chevrolet,Silverado 1500,48160,2017,18495.0
Audi,Q5,55201,2022,23000.0
Polestar,2,35376,2022,26799.0
Maserati,Levante,33812,2023,42895.0
Jaguar,I-PACE,10949,2023,42999.0
Hyundai,Santa Fe Sport,92889,2017,15998.0
Dodge,Charger,56530,2022,19998.0
Jeep,Cherokee,47604,2023,20495.0
Polestar,2,34691,2021,25799.0
BMW,X1,5394,2023,34781.0
Dodge,Charger,48790,2022,19998.0
Tesla,Model X,66847,2016,29999.0
Tesla,Model 3,45898,2019,25500.0
Mercedes-Benz,GLC,19515,2022,31988.0
BMW,3 Series,25303,2021,26725.0
Volkswagen,Tiguan,40503,2022,18995.0
Ford,Escape,24027,2023,20977.0
BMW,i4,3085,2024,54498.0
Hyundai,Santa Fe,78406,2018,16497.0
BMW,X4,52673,2021,36723.0
Nissan,Ariya,14208,2023,28700.0
Tesla,Model 3,49136,2019,20300.0
BMW,7 Series,51484,2019,29895.0
BMW,3 Series,44905,2022,28449.0
Chevrolet,Colorado,80295,2021,27999.0
BMW,7 Series,40488,2016,24499.0
Tesla,Model 3,46338,2022,20998.0
Volkswagen,ID.4,8329,2022,26900.0
Tesla,Model S,58304,2018,30339.0
Volkswagen,Jetta,55382,2019,13897.0
Tesla,Model Y,55024,2022,26995.0
Polestar,2,5147,2024,37999.0
Polestar,2,28095,2021,25999.0
Honda,Civic,51708,2022,22991.0
Mercedes-Benz,C-Class,72223,2018,16499.0
Toyota,Prius,139695,2012,9179.0
Hyundai,Genesis,36793,2015,16998.0
Chevrolet,Silverado 1500,39930,2022,31998.0
BMW,i5,6362,2024,61832.0
Nissan,Rogue,67191,2022,17999.0
BMW,X1,17967,2023,32662.0
Chevrolet,Traverse,56398,2020,19495.0
BMW,3 Series,142369,2012,7974.0
Hyundai,IONIQ 5,34565,2022,30800.0
BMW,X7,30694,2023,61525.0
BMW,X1,10596,2023,34268.0
Porsche,Macan,54355,2020,30400.0
Polestar,2,18548,2021,26499.0
Nissan,Ariya,18335,2023,27800.0
Nissan,Sentra,66316,2021,15800.0
Toyota,Camry,96416,2019,16995.0
smart,fortwo electric drive,32961,2017,9921.0
Tesla,Model 3,76572,2018,18998.0
Hyundai,IONIQ 5,10436,2024,34299.0
Kia,Niro EV,19681,2022,23300.0
Ford,Explorer,23778,2021,26976.0
BMW,X3,30640,2022,31998.0
Mercedes-Benz,C-Class,54494,2019,20998.0
Polestar,2,40051,2021,24999.0
Nissan,Rogue,46200,2023,19300.0
BMW,X1,14456,2023,33107.0
Hyundai,Elantra,49135,2021,16397.0
Jeep,Wrangler,92642,2018,18997.0
Lexus,RX,156449,2006,7474.0
Ford,Escape,32580,2022,18998.0
